B,L,D,C1 Load,R1 Resistance,C2 Load,R2 Resistance,Volume,Price
0.85,0.85,3.8,593.57925,645.7385446,462.355,476.930389,0.36125,41543.75
0.85,0.85,3.85,594.554625,654.2887501,463.0775,483.2441072,0.36125,41543.75
0.85,0.85,3.9,595.53,662.8389555,463.8,489.5578254,0.36125,41543.75
0.85,0.85,3.95,596.505375,671.3891609,464.5225,495.8715435,0.36125,41543.75
0.85,0.85,4,597.48075,679.9393664,465.245,502.1852617,0.36125,41543.75
0.73,0.99,3.85,594.575955,628.2588055,463.0933,464.6556896,0.36135,41555.25
0.73,0.99,3.9,595.5516,636.4686561,463.816,470.7263543,0.36135,41555.25
0.73,0.99,3.95,596.527245,644.6785067,464.5387,476.797019,0.36135,41555.25
0.73,0.99,4,597.50289,652.8883573,465.2614,482.8676838,0.36135,41555.25
0.77,0.94,3.8,593.71614,629.0597221,462.4564,465.0451729,0.3619,41618.5
0.77,0.94,3.85,594.69327,637.3889459,463.1802,471.2014185,0.3619,41618.5
0.77,0.94,3.9,595.6704,645.7181698,463.904,477.3576642,0.3619,41618.5
0.77,0.94,3.95,596.64753,654.0473937,464.6278,483.5139098,0.3619,41618.5
0.77,0.94,4,597.62466,662.3766176,465.3516,489.6701554,0.3619,41618.5
0.74,0.98,3.85,594.84258,632.20758,463.2908,467.5312429,0.3626,41699
0.74,0.98,3.9,595.8216,640.4690456,464.016,473.6394897,0.3626,41699
0.74,0.98,3.95,596.80062,648.7305112,464.7412,479.7477366,0.3626,41699
0.74,0.98,4,597.77964,656.9919768,465.4664,485.8559834,0.3626,41699
0.78,0.93,3.8,593.88462,632.3841988,462.5812,467.454542,0.3627,41710.5
0.78,0.93,3.85,594.86391,640.7574566,463.3066,473.6426976,0.3627,41710.5
0.78,0.93,3.9,595.8432,649.1307144,464.032,479.8308532,0.3627,41710.5
0.78,0.93,3.95,596.82249,657.5039723,464.7574,486.0190088,0.3627,41710.5
0.78,0.93,4,597.80178,665.8772301,465.4828,492.2071643,0.3627,41710.5
0.79,0.92,3.8,594.03204,635.5844415,462.6904,469.7708296,0.3634,41791
0.79,0.92,3.85,595.01322,644.0000887,463.4172,475.9896633,0.3634,41791
0.79,0.92,3.9,595.9944,652.4157359,464.144,482.208497,0.3634,41791
0.79,0.92,3.95,596.97558,660.831383,464.8708,488.4273307,0.3634,41791
0.79,0.92,4,597.95676,669.2470302,465.5976,494.6461644,0.3634,41791
0.75,0.97,3.8,594.10575,627.7190398,462.745,464.1678856,0.36375,41831.25
0.75,0.97,3.85,595.087875,636.0304758,463.4725,470.3124827,0.36375,41831.25
0.75,0.97,3.9,596.07,644.3419119,464.2,476.4570799,0.36375,41831.25
0.75,0.97,3.95,597.052125,652.653348,464.9275,482.6016771,0.36375,41831.25
0.75,0.97,4,598.03425,660.964784,465.655,488.7462743,0.36375,41831.25
0.8,0.91,3.8,594.1584,638.6604501,462.784,471.9940358,0.364,41860
0.8,0.91,3.85,595.1412,647.1168421,463.512,478.2423158,0.364,41860
0.8,0.91,3.9,596.124,655.573234,464.24,484.4905957,0.364,41860
0.8,0.91,3.95,597.1068,664.029626,464.968,490.7388757,0.364,41860
0.8,0.91,4,598.0896,672.486018,465.696,496.9871557,0.364,41860
0.81,0.9,3.8,594.2637,641.6122245,462.862,474.1241604,0.3645,41917.5
0.81,0.9,3.85,595.24785,650.1077168,463.591,480.4006548,0.3645,41917.5
0.81,0.9,3.9,596.232,658.603209,464.32,486.6771493,0.3645,41917.5
0.81,0.9,3.95,597.21615,667.0987012,465.049,492.9536437,0.3645,41917.5
0.81,0.9,4,598.2003,675.5941935,465.778,499.2301382,0.3645,41917.5
0.76,0.96,3.8,594.32688,631.3677311,462.9088,466.8196936,0.3648,41952
0.76,0.96,3.85,595.31184,639.727493,463.6384,472.9994093,0.3648,41952
0.76,0.96,3.9,596.2968,648.087255,464.368,479.179125,0.3648,41952
0.76,0.96,3.95,597.28176,656.4470169,465.0976,485.3588407,0.3648,41952
0.76,0.96,4,598.26672,664.8067789,465.8272,491.5385564,0.3648,41952
0.82,0.89,3.8,594.34794,644.4397649,462.9244,476.1612035,0.3649,41963.5
0.82,0.89,3.85,595.33317,652.9727128,463.6542,482.4646806,0.3649,41963.5
0.82,0.89,3.9,596.3184,661.5056607,464.384,488.7681577,0.3649,41963.5
0.82,0.89,3.95,597.30363,670.0386087,465.1138,495.0716348,0.3649,41963.5
0.82,0.89,4,598.28886,678.5715566,465.8436,501.3751118,0.3649,41963.5
0.73,1,3.85,595.3545,633.8614944,463.67,468.8182103,0.365,41975
0.73,1,3.9,596.34,642.144553,464.4,474.9432522,0.365,41975
0.73,1,3.95,597.3255,650.4276117,465.13,481.068294,0.365,41975
0.73,1,4,598.311,658.7106703,465.86,487.1933359,0.365,41975
0.83,0.88,3.8,594.41112,647.1430711,462.9712,478.1051651,0.3652,41998
0.83,0.88,3.85,595.39716,655.7118302,463.7016,484.434393,0.3652,41998
0.83,0.88,3.9,596.3832,664.2805893,464.432,490.7636209,0.3652,41998
0.83,0.88,3.95,597.36924,672.8493483,465.1624,497.0928488,0.3652,41998
0.83,0.88,4,598.35528,681.4181074,465.8928,503.4220767,0.3652,41998
0.84,0.87,3.8,594.45324,649.7221433,463.0024,479.9560452,0.3654,42021
0.84,0.87,3.85,595.43982,658.3250689,463.7332,486.3097921,0.3654,42021
0.84,0.87,3.9,596.4264,666.9279946,464.464,492.663539,0.3654,42021
0.84,0.87,3.95,597.41298,675.5309202,465.1948,499.0172858,0.3654,42021
0.84,0.87,4,598.39956,684.1338458,465.9256,505.3710327,0.3654,42021
0.85,0.86,3.8,594.4743,652.1769814,463.018,481.7138438,0.3655,42032.5
0.85,0.86,3.85,595.46115,660.812429,463.749,488.0908779,0.3655,42032.5
0.85,0.86,3.9,596.448,669.4478766,464.48,494.4679119,0.3655,42032.5
0.85,0.86,3.95,597.43485,678.0833243,465.211,500.8449459,0.3655,42032.5
0.85,0.86,4,598.4217,686.7187719,465.942,507.2219799,0.3655,42032.5
0.77,0.95,3.8,594.52695,634.8921883,463.057,469.3784202,0.36575,42061.25
0.77,0.95,3.85,595.514475,643.2986316,463.7885,475.5920225,0.36575,42061.25
0.77,0.95,3.9,596.502,651.7050748,464.52,481.8056249,0.36575,42061.25
0.77,0.95,3.95,597.489525,660.1115181,465.2515,488.0192272,0.36575,42061.25
0.77,0.95,4,598.47705,668.5179614,465.983,494.2328296,0.36575,42061.25
0.74,0.99,3.8,594.64278,629.5513417,463.1428,465.5874155,0.3663,42124.5
0.74,0.99,3.85,595.63179,637.8870181,463.8754,471.7507844,0.3663,42124.5
0.74,0.99,3.9,596.6208,646.2226946,464.608,477.9141533,0.3663,42124.5
0.74,0.99,3.95,597.60981,654.5583711,465.3406,484.0775222,0.3663,42124.5
0.74,0.99,4,598.59882,662.8940475,466.0732,490.2408911,0.3663,42124.5
0.78,0.94,3.8,594.70596,638.2924114,463.1896,471.8440653,0.3666,42159
0.78,0.94,3.85,595.69578,646.7438914,463.9228,478.0903224,0.3666,42159
0.78,0.94,3.9,596.6856,655.1953715,464.656,484.3365796,0.3666,42159
0.78,0.94,3.95,597.67542,663.6468516,465.3892,490.5828368,0.3666,42159
0.78,0.94,4,598.66524,672.0983316,466.1224,496.829094,0.3666,42159
0.79,0.93,3.8,594.86391,641.5684003,463.3066,474.2166288,0.36735,42245.25
0.79,0.93,3.85,595.855755,650.0632726,464.0413,480.494309,0.36735,42245.25
0.79,0.93,3.9,596.8476,658.5581449,464.776,486.7719892,0.36735,42245.25
0.79,0.93,3.95,597.839445,667.0530172,465.5107,493.0496694,0.36735,42245.25
0.79,0.93,4,598.83129,675.5478895,466.2454,499.3273496,0.36735,42245.25
0.75,0.98,3.8,594.8955,633.4000134,463.33,468.388581,0.3675,42262.5
0.75,0.98,3.85,595.88775,641.7866631,464.065,474.5890451,0.3675,42262.5
0.75,0.98,3.9,596.88,650.1733129,464.8,480.7895092,0.3675,42262.5
0.75,0.98,3.95,597.87225,658.5599627,465.535,486.9899733,0.3675,42262.5
0.75,0.98,4,598.8645,666.9466124,466.27,493.1904375,0.3675,42262.5
0.8,0.92,3.8,595.0008,644.7201552,463.408,476.4961109,0.368,42320
0.8,0.92,3.85,595.9944,653.2567752,464.144,482.8039823,0.368,42320
0.8,0.92,3.9,596.988,661.7933951,464.88,489.1118536,0.368,42320
0.8,0.92,3.95,597.9816,670.330015,465.616,495.419725,0.368,42320
0.8,0.92,4,598.9752,678.866635,466.352,501.7275964,0.368,42320
0.81,0.91,3.8,595.11663,647.747676,463.4938,478.6825114,0.36855,42383.25
