B,L,D,C1 Load,R1 Resistance,C2 Load,R2 Resistance,Volume,Price
0.39,0.48,3.85,532.78956,921.2410791,415.02,445.028826,0.0936,10764
0.36,0.52,3.85,532.78956,878.0963263,415.02,426.362754,0.0936,10764
0.39,0.48,3.9,532.91592,929.0082192,415.02,448.7904055,0.0936,10764
0.36,0.52,3.9,532.91592,885.4982199,415.02,429.9661794,0.0936,10764
0.39,0.48,3.95,533.04228,936.7753593,415.02,452.5519849,0.0936,10764
0.36,0.52,3.95,533.04228,892.9001135,415.02,433.5696049,0.0936,10764
0.39,0.48,4,533.16864,944.5424993,415.02,456.3135643,0.0936,10764
0.36,0.52,4,533.16864,900.3020071,415.02,437.1730303,0.0936,10764
0.4,0.47,3.8,532.728,931.154547,415.02,449.1136557,0.094,10810
0.4,0.47,3.85,532.8549,939.0725705,415.02,452.942271,0.094,10810
0.4,0.47,3.9,532.9818,946.990594,415.02,456.7708863,0.094,10810
0.4,0.47,3.95,533.1087,954.9086175,415.02,460.5995016,0.094,10810
0.4,0.47,4,533.2356,962.826641,415.02,464.4281168,0.094,10810
0.33,0.57,3.95,533.1170025,855.4684025,415.02,417.6077234,0.09405,10815.75
0.33,0.57,4,533.24397,862.5597409,415.02,421.0785916,0.09405,10815.75
0.41,0.46,3.8,532.7766,948.5239584,415.02,456.7771511,0.0943,10844.5
0.41,0.46,3.85,532.903905,956.5904516,415.02,460.6713315,0.0943,10844.5
0.41,0.46,3.9,533.03121,964.6569448,415.02,464.5655118,0.0943,10844.5
0.41,0.46,3.95,533.158515,972.723438,415.02,468.4596922,0.0943,10844.5
0.41,0.46,4,533.28582,980.7899313,415.02,472.3538726,0.0943,10844.5
0.37,0.51,3.8,532.7847,889.6428545,415.02,431.323656,0.09435,10850.25
0.37,0.51,3.85,532.9120725,897.2057028,415.02,434.9999678,0.09435,10850.25
0.37,0.51,3.9,533.039445,904.7685511,415.02,438.6762796,0.09435,10850.25
0.37,0.51,3.95,533.1668175,912.3313994,415.02,442.3525914,0.09435,10850.25
0.37,0.51,4,533.29419,919.8942478,415.02,446.0289032,0.09435,10850.25
0.42,0.45,3.8,532.809,965.5804093,415.02,464.257037,0.0945,10867.5
0.35,0.54,3.8,532.809,863.2098244,415.02,419.9637114,0.0945,10867.5
0.42,0.45,3.85,532.936575,973.7929586,415.02,468.2153118,0.0945,10867.5
0.35,0.54,3.85,532.936575,870.5474055,415.02,423.5431195,0.0945,10867.5
0.42,0.45,3.9,533.06415,982.0055078,415.02,472.1735865,0.0945,10867.5
0.35,0.54,3.9,533.06415,877.8849866,415.02,427.1225276,0.0945,10867.5
0.42,0.45,3.95,533.191725,990.2180571,415.02,476.1318613,0.0945,10867.5
0.35,0.54,3.95,533.191725,885.2225677,415.02,430.7019357,0.0945,10867.5
